w3mpro,w3sigmpro,w3snr,w3rchi2,w3mag_1,w3mag_2,w3mag_3,w3mag_4,w3mag_5,w3mag_6,w3mag_7,w3mag_8,w3mag_1_w3mag_2,w3mag_2_w3mag_3,w3mag_3_w3mag_4,w3mag_4_w3mag_5,w3mag_5_w3mag_6,w3mag_6_w3mag_7,w3mag_7_w3mag_8,class
5.465,0.016,68.3,30.39,6.998,6.394,6.068,5.888,5.791,5.739,5.712,5.698,0.6040000000000001,0.3260000000000005,0.17999999999999972,0.09699999999999953,0.05200000000000049,0.027000000000000135,0.013999999999999346,real
4.197,0.015,70.3,0.6345,5.651,5.052,4.723,4.542,4.442,4.384,4.347,4.322,0.5990000000000002,0.32899999999999974,0.18100000000000005,0.09999999999999964,0.05799999999999983,0.03699999999999992,0.025000000000000355,real
10.455,0.099,11.0,0.8607,11.95,11.412,11.136,10.993,10.916,10.863,10.805,10.744,0.5379999999999985,0.2760000000000016,0.1429999999999989,0.07699999999999996,0.053000000000000824,0.05799999999999983,0.06099999999999994,real
10.055,0.061,17.8,0.8995,11.509,10.949,10.659,10.535,10.515,10.565,10.652,10.748,0.5600000000000005,0.28999999999999915,0.12400000000000055,0.019999999999999574,0.049999999999998934,0.08699999999999974,0.09600000000000009,real
10.624,0.089,12.2,1.167,12.126,11.595,11.35,11.272,11.322,11.502,11.79,11.188,0.5309999999999988,0.245000000000001,0.0779999999999994,0.049999999999998934,0.1800000000000015,0.2879999999999985,0.6019999999999985,real
9.744,0.047,23.2,0.8642,11.187,10.638,10.372,10.254,10.215,10.217,10.247,10.297,0.5489999999999995,0.266,0.11800000000000033,0.0389999999999997,0.002000000000000668,0.02999999999999936,0.05000000000000071,real
9.615,0.047,22.9,0.8767,11.081,10.504,10.202,10.043,9.965,9.934,9.92,9.917,0.577,0.3019999999999996,0.1590000000000007,0.0779999999999994,0.031000000000000583,0.013999999999999346,0.0030000000000001137,real
7.895,0.02,55.5,1.005,9.308,8.722,8.409,8.238,8.148,8.103,8.081,8.07,0.5860000000000003,0.31299999999999883,0.17100000000000115,0.08999999999999986,0.04499999999999993,0.02200000000000024,0.010999999999999233,real
10.469,0.086,12.7,1.075,11.881,11.328,11.057,10.932,10.871,10.852,10.865,10.836,0.5530000000000008,0.270999999999999,0.125,0.06099999999999994,0.019000000000000128,0.0129999999999999,0.028999999999999915,real
8.067,0.02,54.2,1.147,9.502,8.937,8.649,8.516,8.463,8.447,8.445,8.449,0.5650000000000013,0.28800000000000026,0.13299999999999912,0.053000000000000824,0.016000000000000014,0.0019999999999988916,0.0039999999999995595,real
