w4mpro,w4sigmpro,w4snr,w4rchi2,w4mag_1,w4mag_2,w4mag_3,w4mag_4,w4mag_5,w4mag_6,w4mag_7,w4mag_8,w4mag_1_w4mag_2,w4mag_2_w4mag_3,w4mag_3_w4mag_4,w4mag_4_w4mag_5,w4mag_5_w4mag_6,w4mag_6_w4mag_7,w4mag_7_w4mag_8,class
4.539,0.03,36.8,0.7321,5.626,5.127,4.836,4.681,4.61,4.573,4.55,4.523,0.49900000000000055,0.2909999999999995,0.15500000000000025,0.07099999999999973,0.03699999999999992,0.023000000000000576,0.027000000000000135,real
7.03,0.088,12.4,1.158,7.969,7.439,7.137,6.975,6.872,6.811,6.759,6.685,0.5300000000000002,0.3020000000000005,0.16199999999999992,0.10299999999999976,0.06099999999999994,0.0519999999999996,0.07400000000000073,real
6.285,0.054,20.1,1.043,7.318,6.808,6.515,6.352,6.263,6.22,6.196,6.181,0.5099999999999998,0.29300000000000015,0.16299999999999937,0.08900000000000041,0.04300000000000015,0.02400000000000002,0.01499999999999968,real
8.089,0.425,2.6,0.9042,9.41,9.059,8.84,7.903,7.751,7.632,7.538,7.377,0.35100000000000087,0.21899999999999942,0.9370000000000003,0.15199999999999925,0.11900000000000066,0.09399999999999942,0.16100000000000048,real
7.314,0.142,7.6,0.7624,8.28,7.756,7.493,7.438,7.517,7.659,7.013,6.965,0.5239999999999991,0.2629999999999999,0.055000000000000604,0.07900000000000063,0.14199999999999946,0.6459999999999999,0.04800000000000004,real
4.989,0.035,31.3,0.8878,6.036,5.555,5.277,5.135,5.075,5.052,5.044,5.04,0.48099999999999987,0.2779999999999996,0.14200000000000035,0.05999999999999961,0.023000000000000576,0.008000000000000007,0.0039999999999995595,real
5.404,0.035,31.4,0.9402,6.382,5.869,5.544,5.33,5.16,4.981,4.798,4.648,0.5129999999999999,0.3250000000000002,0.21399999999999952,0.16999999999999993,0.17900000000000027,0.18299999999999983,0.15000000000000036,real
8.594,0.458,2.4,0.9151,9.451,8.981,8.08,8.005,8.035,8.073,7.874,7.691,0.47000000000000064,0.9009999999999998,0.07499999999999929,0.02999999999999936,0.038000000000000256,0.19900000000000073,0.18299999999999983,real
6.647,0.073,14.9,1.007,7.734,7.266,6.98,6.855,6.841,6.866,6.9,6.938,0.46799999999999997,0.2859999999999996,0.125,0.014000000000000234,0.024999999999999467,0.034000000000000696,0.03799999999999937,real
3.93,0.026,42.6,0.8439,4.982,4.483,4.183,4.016,3.927,3.862,3.804,3.742,0.49900000000000055,0.2999999999999998,0.16699999999999982,0.08899999999999997,0.06499999999999995,0.058000000000000274,0.06199999999999983,real
5.216,0.036,30.0,1.008,6.299,5.826,5.561,5.444,5.415,5.422,5.45,5.472,0.47300000000000075,0.2649999999999997,0.11699999999999999,0.028999999999999915,0.006999999999999673,0.02800000000000047,0.02200000000000024,real
5.363,0.039,27.7,1.294,6.361,5.895,5.623,5.475,5.373,5.233,5.03,4.771,0.4660000000000002,0.27199999999999935,0.14800000000000058,0.10199999999999942,0.14000000000000057,0.2029999999999994,0.25900000000000034,real
5.648,0.035,30.7,1.104,6.695,6.204,5.917,5.773,5.718,5.694,5.678,5.662,0.49100000000000055,0.2869999999999999,0.14400000000000013,0.054999999999999716,0.02400000000000002,0.016000000000000014,0.016000000000000014,real
6.997,0.106,10.2,0.8472,8.199,7.792,7.559,7.497,7.563,7.652,7.733,6.983,0.40700000000000003,0.23299999999999965,0.06200000000000028,0.06599999999999984,0.08900000000000041,0.08099999999999952,0.75,real
6.62,0.102,10.7,0.8688,7.621,7.137,6.855,6.677,6.538,6.43,6.365,6.309,0.4840000000000009,0.28199999999999914,0.17800000000000082,0.13899999999999935,0.10800000000000054,0.0649999999999995,0.05600000000000005,real
6.527,0.068,16.0,1.118,7.445,6.854,6.498,6.276,6.121,6.008,5.921,5.858,0.5910000000000002,0.35599999999999987,0.22200000000000042,0.15499999999999936,0.11300000000000043,0.08699999999999974,0.06300000000000061,real
5.178,0.034,31.9,0.9182,6.278,5.796,5.516,5.375,5.315,5.29,5.28,5.264,0.4819999999999993,0.28000000000000025,0.14100000000000001,0.05999999999999961,0.025000000000000355,0.009999999999999787,0.016000000000000014,real
5.407,0.037,29.1,1.314,6.43,5.909,5.58,5.417,5.375,5.389,5.446,5.524,0.5209999999999999,0.32899999999999974,0.16300000000000026,0.041999999999999815,0.014000000000000234,0.056999999999999496,0.07800000000000029,real
6.853,0.091,11.9,0.913,7.818,7.295,6.973,6.771,6.677,6.615,6.546,6.484,0.5229999999999997,0.32200000000000006,0.20199999999999996,0.0940000000000003,0.06199999999999939,0.06899999999999995,0.06200000000000028,real
5.779,0.053,20.4,1.03,6.758,6.185,5.83,5.628,5.51,5.432,5.387,5.367,0.5730000000000004,0.35499999999999954,0.20199999999999996,0.11800000000000033,0.0779999999999994,0.04500000000000082,0.019999999999999574,real
6.838,0.117,9.3,0.8636,7.96,7.574,7.394,7.361,7.466,7.684,7.187,7.221,0.3860000000000001,0.17999999999999972,0.03300000000000036,0.10500000000000043,0.21799999999999997,0.4969999999999999,0.03399999999999981,real
4.496,0.028,38.2,0.6779,5.529,5.007,4.682,4.492,4.385,4.318,4.28,4.26,0.5220000000000002,0.3249999999999993,0.1900000000000004,0.1070000000000002,0.06700000000000017,0.03799999999999937,0.020000000000000462,real
3.156,0.021,52.8,9.227,4.195,3.614,3.216,2.917,2.707,2.574,2.488,2.425,0.5810000000000004,0.3979999999999997,0.2990000000000004,0.20999999999999996,0.133,0.08599999999999985,0.06300000000000017,real
5.953,0.046,23.4,1.053,6.728,6.156,5.808,5.602,5.482,5.402,5.34,5.291,0.5720000000000001,0.34799999999999986,0.20599999999999952,0.1200000000000001,0.08000000000000007,0.06200000000000028,0.04899999999999949,real
5.111,0.05,21.6,0.6999,6.212,5.749,5.491,5.375,5.345,5.34,5.332,5.298,0.4630000000000001,0.258,0.11599999999999966,0.03000000000000025,0.004999999999999893,0.008000000000000007,0.03399999999999981,real
7.614,0.171,6.4,0.8588,8.704,8.22,7.93,7.725,7.626,7.556,7.441,7.318,0.484,0.2900000000000009,0.20500000000000007,0.09899999999999931,0.07000000000000028,0.11500000000000021,0.12300000000000022,real
2.895,0.02,54.5,0.7771,4.067,3.556,3.259,3.103,3.038,3.01,2.999,2.994,0.5110000000000001,0.29700000000000015,0.1559999999999997,0.06500000000000039,0.028000000000000025,0.010999999999999677,0.004999999999999893,real
7.743,0.187,5.8,0.9686,8.932,8.483,8.16,7.913,7.659,7.444,7.294,7.168,0.44899999999999984,0.3230000000000004,0.2469999999999999,0.25400000000000045,0.21499999999999986,0.15000000000000036,0.12599999999999945,real
4.859,0.037,29.0,0.98,5.902,5.452,5.202,5.089,5.057,5.05,5.044,5.014,0.4500000000000002,0.25,0.11299999999999955,0.03200000000000003,0.007000000000000561,0.006000000000000227,0.02999999999999936,real
6.476,0.065,16.8,1.064,7.504,7.009,6.719,6.572,6.512,6.489,6.491,6.484,0.4949999999999992,0.29000000000000004,0.14700000000000024,0.0600000000000005,0.022999999999999687,0.0019999999999997797,0.006999999999999673,real
